open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
1659.7346608523,1660.183844793,1640.9497884526,1646.1513384858,1397913,600519.SH,2023-09-25,贵州茅台,NA,CNY
1642.2164871653,1648.3972581892,1628.8308057327,1631.4360725888,1576196,600519.SH,2023-09-26,贵州茅台,NA,CNY
1630.5377047074,1647.1575105129,1619.5776165545,1629.639336826,2087994,600519.SH,2023-09-27,贵州茅台,NA,CNY
1639.5034161636,1639.5034161636,1615.0857771476,1615.7595530586,2053784,600519.SH,2023-09-28,贵州茅台,NA,CNY
1614.3131807696,1614.3131807696,1585.5294738502,1596.3997252149,2976268,600519.SH,2023-10-09,贵州茅台,NA,CNY
1601.6911120362,1616.1458512476,1588.3144142824,1590.1111500452,2028392,600519.SH,2023-10-10,贵州茅台,NA,CNY
1603.2722395074,1603.2722395074,1588.3144142824,1597.7472770369,2194486,600519.SH,2023-10-11,贵州茅台,NA,CNY
1615.1756139357,1615.4720753366,1596.5793987912,1604.4850361473,1486507,600519.SH,2023-10-12,贵州茅台,NA,CNY
1590.9017137808,1597.3070767751,1561.5340677385,1573.042160299,2502788,600519.SH,2023-10-13,贵州茅台,NA,CNY
1573.0241929413,1577.5339997059,1547.3937572855,1554.0865980018,2078965,600519.SH,2023-10-16,贵州茅台,NA,CNY
1562.2617457224,1562.6570275902,1541.5992844506,1550.5829632644,1494523,600519.SH,2023-10-17,贵州茅台,NA,CNY
1544.1147145185,1564.9568493665,1542.6593585506,1552.3796990272,2031750,600519.SH,2023-10-18,贵州茅台,NA,CNY
1527.2253983485,1527.2523493849,1460.7731261627,1464.3396466518,7349237,600519.SH,2023-10-19,贵州茅台,NA,CNY
1464.3396466518,1486.7988436863,1451.9870882828,1477.8151648725,4537601,600519.SH,2023-10-20,贵州茅台,NA,CNY
1464.3126956154,1491.2906830932,1456.7933564482,1476.8988296335,2523423,600519.SH,2023-10-23,贵州茅台,NA,CNY
1480.5102685167,1485.3255203609,1456.4429929745,1475.9735107157,2986146,600519.SH,2023-10-24,贵州茅台,NA,CNY
1500.373182374,1525.4286625857,1497.5972256205,1507.0121210174,3617898,600519.SH,2023-10-25,贵州茅台,NA,CNY
1497.5792582629,1516.4449837719,1493.0964025348,1502.2777222825,2238635,600519.SH,2023-10-26,贵州茅台,NA,CNY
1494.8841546188,1519.9306511517,1491.8297038221,1506.3024103911,3426239,600519.SH,2023-10-27,贵州茅台,NA,CNY
1499.3759940257,1517.2355475075,1499.3759940257,1510.1564086023,2408642,600519.SH,2023-10-30,贵州茅台,NA,CNY
1509.2580407209,1518.2417195347,1498.3428709621,1513.3725656176,1985877,600519.SH,2023-10-31,贵州茅台,NA,CNY
1661.9805805557,1661.9805805557,1593.5159643156,1599.9842130616,9314308,600519.SH,2023-11-01,贵州茅台,NA,CNY
1612.5703470797,1612.5703470797,1595.5552594064,1598.6456449183,2790764,600519.SH,2023-11-02,贵州茅台,NA,CNY
1599.094828859,1630.4388842404,1593.7046215707,1627.1598414734,3017600,600519.SH,2023-11-03,贵州茅台,NA,CNY
1635.0295441143,1638.4343583847,1618.0683585138,1627.8426010632,2552392,600519.SH,2023-11-06,贵州茅台,NA,CNY
1621.5540258936,1626.0458653005,1602.7601698151,1609.1295980941,1958159,600519.SH,2023-11-07,贵州茅台,NA,CNY
1602.7332187786,1620.4759844359,1601.6731446786,1615.5708958036,1454567,600519.SH,2023-11-08,贵州茅台,NA,CNY
1608.1773281398,1616.1638186053,1601.7899325032,1611.7707996653,1280048,600519.SH,2023-11-09,贵州茅台,NA,CNY
1599.5889311938,1606.2817719101,1592.8960904775,1595.3576184725,1646557,600519.SH,2023-11-10,贵州茅台,NA,CNY
1592.1594288148,1603.4788641202,1578.4144002296,1584.7209427569,1836995,600519.SH,2023-11-13,贵州茅台,NA,CNY
1584.7209427569,1594.5940057733,1581.1364549102,1585.8618699663,1281675,600519.SH,2023-11-14,贵州茅台,NA,CNY
